City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Coihaique,CL,2021-12-22 01:39:02,-45.5752,-72.0662,65.01,55,5,4.61
68,Saint Anthony,US,2021-12-22 01:39:56,45.0205,-93.218,15.93,74,75,5.01
69,Thompson,CA,2021-12-22 01:35:55,55.7435,-97.8558,-20.04,76,75,2.3
70,Padilla,CO,2021-12-22 01:39:57,3.2204,-76.3139,72.97,94,100,1.12
71,San Andres,CO,2021-12-22 01:38:21,12.5847,-81.7006,77.02,94,75,2.3
72,Tasiilaq,GL,2021-12-22 01:39:57,65.6145,-37.6368,30.36,51,58,5.66
73,Dingle,PH,2021-12-22 01:39:57,10.9995,122.6711,81.93,77,100,7.16
74,Afua,BR,2021-12-22 01:39:57,-0.1567,-50.3867,77.0,91,87,5.53
75,Otukpo,NG,2021-12-22 01:39:58,7.1913,8.1329,74.39,29,33,3.31
76,Podor,MR,2021-12-22 01:39:58,16.6527,-14.9587,76.39,20,100,8.66
77,Lompoc,US,2021-12-22 01:39:58,34.6391,-120.4579,55.81,82,1,0.0
78,New Norfolk,AU,2021-12-22 01:39:58,-42.7826,147.0587,63.75,43,25,5.01
79,Lagoa,PT,2021-12-22 01:39:59,39.05,-27.9833,58.95,68,96,36.01
80,San Patricio,US,2021-12-22 01:39:59,28.017,-97.5169,60.89,71,13,7.74
81,Chapais,CA,2021-12-22 01:39:59,49.7834,-74.8492,-0.62,94,100,4.05
82,Fortuna,US,2021-12-22 01:40:00,40.5982,-124.1573,52.14,89,75,5.99
83,Sosua,DO,2021-12-22 01:40:00,19.7667,-70.5167,76.98,94,20,0.0
84,Kirksville,US,2021-12-22 01:40:00,40.1948,-92.5833,34.12,61,1,1.01
85,Sistranda,NO,2021-12-22 01:40:01,63.7256,8.834,35.91,96,100,12.8
86,Klaksvik,FO,2021-12-22 01:40:01,62.2266,-6.589,32.92,68,100,8.99
87,Teeli,RU,2021-12-22 01:40:01,51.0333,90.2333,4.32,83,48,2.57
88,Carutapera,BR,2021-12-22 01:40:02,-1.195,-46.02,79.59,80,100,9.15
89,Severo-Kurilsk,RU,2021-12-22 01:40:02,50.6789,156.125,24.93,71,13,17.87
90,Hilo,US,2021-12-22 01:37:08,19.7297,-155.09,72.28,46,90,6.91
91,Kodiak,US,2021-12-22 01:40:02,57.79,-152.4072,31.95,67,97,7.92
92,Saint-Francois,FR,2021-12-22 01:40:03,46.4154,3.9054,27.84,93,90,1.14
93,Husavik,IS,2021-12-22 01:40:03,66.0449,-17.3389,15.71,85,79,11.74
94,Douglas,US,2021-12-22 01:41:03,41.3,-96.167,33.1,56,1,1.01
95,Narsaq,GL,2021-12-22 01:41:04,60.9167,-46.05,46.62,60,100,10.42
96,Souillac,MU,2021-12-22 01:41:04,-20.5167,57.5167,79.18,78,75,14.97
97,Mahebourg,MU,2021-12-22 01:41:04,-20.4081,57.7,79.09,78,75,14.97
98,Ola,RU,2021-12-22 01:41:04,59.5833,151.2833,3.74,70,100,8.5
99,Qaanaaq,GL,2021-12-22 01:41:05,77.484,-69.3632,25.41,68,94,5.3
100,Hambantota,LK,2021-12-22 01:41:05,6.1241,81.1185,73.74,100,54,2.3
101,Cherskiy,RU,2021-12-22 01:41:05,68.75,161.3,-20.94,98,100,8.43
102,Alofi,NU,2021-12-22 01:41:06,-19.0595,-169.9187,84.09,70,75,17.27
103,Biltine,TD,2021-12-22 01:41:06,14.5333,20.9167,65.46,18,3,13.67
104,Zheleznodorozhnyy,RU,2021-12-22 01:41:06,55.7503,38.0042,-5.46,98,92,4.45
105,Nanortalik,GL,2021-12-22 01:41:07,60.1432,-45.2371,36.86,86,100,14.41
106,Lamar,US,2021-12-22 01:41:07,33.6668,-95.5836,49.66,66,1,4.61
107,Madarounfa,NE,2021-12-22 01:41:07,13.3087,7.156,61.81,25,0,11.54
108,Kununurra,AU,2021-12-22 01:41:07,-15.7667,128.7333,96.78,49,63,5.75
109,Pyinmana,MM,2021-12-22 01:41:08,19.7333,96.2167,72.46,63,40,0.81
110,Kapaa,US,2021-12-22 01:41:08,22.0752,-159.319,73.72,79,90,4.0
111,Codrington,AU,2021-12-22 01:41:08,-38.2667,141.9667,64.2,52,25,12.12
112,Khandyga,RU,2021-12-22 01:41:09,62.6667,135.6,-45.81,100,81,0.96
113,Jamestown,US,2021-12-22 01:37:47,42.097,-79.2353,36.99,70,1,7.0
114,Saldanha,ZA,2021-12-22 01:41:09,-33.0117,17.9442,66.25,97,29,8.39
115,Arraial Do Cabo,BR,2021-12-22 01:41:09,-22.9661,-42.0278,73.78,89,58,24.32
116,Chuy,UY,2021-12-22 01:41:10,-33.6971,-53.4616,65.32,85,0,6.78
117,Ontario,US,2021-12-22 01:37:24,34.0633,-117.6509,61.59,42,75,1.01
118,Karoi,ZW,2021-12-22 01:41:10,-16.8099,29.6925,63.66,92,100,5.53
119,Walvis Bay,NA,2021-12-22 01:41:10,-22.9575,14.5053,63.09,88,0,3.44
120,Darhan,MN,2021-12-22 01:41:11,49.4867,105.9228,3.18,93,100,3.91
121,Tabuk,PH,2021-12-22 01:41:11,17.4189,121.4443,79.97,82,46,3.18
122,Mar Del Plata,AR,2021-12-22 01:41:11,-38.0023,-57.5575,67.87,95,0,8.99
123,Boende,CD,2021-12-22 01:41:12,-0.2167,20.8667,72.93,87,78,0.81
124,Rivera,UY,2021-12-22 01:41:12,-30.9053,-55.5508,69.42,80,1,7.16
125,Pahrump,US,2021-12-22 01:41:11,36.2083,-115.9839,48.25,55,100,1.99
126,Tuktoyaktuk,CA,2021-12-22 01:41:12,69.4541,-133.0374,-2.2,71,75,21.85
127,Bethel,US,2021-12-22 01:41:13,41.3712,-73.414,37.92,76,40,0.0
128,Qaqortoq,GL,2021-12-22 01:41:13,60.7167,-46.0333,46.9,72,100,7.11
129,Te Anau,NZ,2021-12-22 01:41:13,-45.4167,167.7167,54.86,89,100,5.82
130,Zaraza,VE,2021-12-22 01:41:13,9.3503,-65.3245,75.69,86,17,6.71
131,Port Lincoln,AU,2021-12-22 01:41:14,-34.7333,135.8667,66.36,65,38,12.41
132,Pauini,BR,2021-12-22 01:41:14,-7.7136,-66.9764,74.48,99,100,1.97
133,Vostok,RU,2021-12-22 01:41:14,46.4856,135.8833,-4.58,92,100,3.62
134,Hermanus,ZA,2021-12-22 01:41:15,-34.4187,19.2345,68.9,92,91,5.61
135,Mikkeli,FI,2021-12-22 01:41:15,61.6886,27.2723,5.14,85,90,4.61
136,Itacarambi,BR,2021-12-22 01:41:15,-15.1022,-44.0919,69.19,99,28,3.58
137,Nardaran,AZ,2021-12-22 01:41:15,40.5561,50.0056,42.44,93,90,11.5
138,Hami,CN,2021-12-22 01:41:16,42.8,93.45,25.57,49,26,7.52
139,Hithadhoo,MV,2021-12-22 01:41:16,-0.6,73.0833,81.32,70,46,1.23
140,Bathsheba,BB,2021-12-22 01:42:16,13.2167,-59.5167,79.41,78,40,17.27
141,Bredasdorp,ZA,2021-12-22 01:37:26,-34.5322,20.0403,68.29,88,100,8.05
142,Jensen Beach,US,2021-12-22 01:42:17,27.2545,-80.2298,73.06,84,40,3.0
143,Broome,US,2021-12-22 01:42:17,42.2506,-75.833,35.91,75,1,8.99
144,Graaff-Reinet,ZA,2021-12-22 01:42:17,-32.2522,24.5308,66.92,77,100,6.33
145,Lorengau,PG,2021-12-22 01:42:17,-2.0226,147.2712,83.95,75,72,8.21
146,Baie-Comeau,CA,2021-12-22 01:42:18,49.2168,-68.1489,14.0,72,1,4.61
147,Cabo San Lucas,MX,2021-12-22 01:42:18,22.8909,-109.9124,72.95,62,19,2.77
148,Vrangel,RU,2021-12-22 01:42:18,42.7297,133.0839,12.79,51,0,16.55
149,Manokwari,ID,2021-12-22 01:42:19,-0.8667,134.0833,78.22,90,100,11.32
150,Jacarau,BR,2021-12-22 01:42:19,-6.6122,-35.2928,74.8,84,100,2.84
151,Isangel,VU,2021-12-22 01:42:19,-19.55,169.2667,86.11,79,75,2.3
152,Methoni,GR,2021-12-22 01:42:19,36.8197,21.7049,47.21,58,7,2.95
153,Geraldton,AU,2021-12-22 01:42:20,-28.7667,114.6,74.12,68,90,17.27
154,Alice Springs,AU,2021-12-22 01:42:20,-23.7,133.8833,94.55,12,56,5.75
155,Gilbues,BR,2021-12-22 01:42:20,-9.8317,-45.3439,71.76,94,100,2.93
156,Buraydah,SA,2021-12-22 01:42:21,26.326,43.975,45.05,35,11,7.63
157,Pilna,RU,2021-12-22 01:42:21,55.5539,45.9219,-2.81,97,88,4.9
158,Kaitangata,NZ,2021-12-22 01:42:21,-46.2817,169.8464,69.85,47,62,9.42
159,Saint-Pierre,RE,2021-12-22 01:42:21,-21.3393,55.4781,76.68,79,0,4.61
160,Arlit,NE,2021-12-22 01:42:22,18.7369,7.3853,60.15,23,31,7.38
161,Harper,LR,2021-12-22 01:42:22,4.375,-7.7169,79.47,81,40,3.94
162,Longkou,CN,2021-12-22 01:42:22,37.6508,120.3286,41.02,60,16,6.35
163,Ugoofaaru,MV,2021-12-22 01:42:23,5.6667,73.0,81.16,74,93,6.71
164,Vep,HU,2021-12-22 01:42:23,47.2304,16.7225,31.87,82,95,2.82
165,La Ronge,CA,2021-12-22 01:42:23,55.1001,-105.2842,7.02,85,75,3.44
166,Necochea,AR,2021-12-22 01:42:23,-38.5473,-58.7368,68.04,63,6,10.18
167,Garowe,SO,2021-12-22 01:42:24,8.4054,48.4845,65.62,90,26,6.89
168,Sitka,US,2021-12-22 01:42:24,57.0531,-135.33,37.29,65,75,9.22
169,Terpinnya,UA,2021-12-22 01:42:24,46.9697,35.4197,17.31,57,87,14.47
170,Bangaon,IN,2021-12-22 01:42:25,23.0667,88.8167,60.75,64,0,4.83
171,Agadir,MA,2021-12-22 01:42:25,30.4202,-9.5982,61.25,63,19,16.11
172,Saint-Philippe,RE,2021-12-22 01:41:54,-21.3585,55.7679,76.59,89,100,14.61
173,Port Elizabeth,ZA,2021-12-22 01:42:25,-33.918,25.5701,66.09,100,0,5.75
174,Deputatskiy,RU,2021-12-22 01:42:26,69.3,139.9,-19.5,86,100,4.74
175,Clyde River,CA,2021-12-22 01:41:07,70.4692,-68.5914,7.03,85,100,29.93
176,General Nakar,PH,2021-12-22 01:42:26,14.7631,121.635,82.33,76,100,6.91
177,Itarema,BR,2021-12-22 01:42:26,-2.9248,-39.9167,80.29,78,84,13.13
178,Sire,NG,2021-12-22 01:42:27,12.9299,5.2043,65.66,20,1,14.07
179,Georgetown,MY,2021-12-22 01:42:27,5.4112,100.3354,80.53,89,20,3.0
180,Karratha,AU,2021-12-22 01:42:27,-20.7377,116.8463,101.84,24,0,6.49
181,Asosa,ET,2021-12-22 01:42:27,10.0667,34.5333,62.8,66,94,4.34
182,Victoria,HK,2021-12-22 01:39:00,22.2855,114.1577,68.95,82,75,1.01
183,Ilulissat,GL,2021-12-22 01:42:28,69.2167,-51.1,39.22,38,39,23.02
184,Laguna,US,2021-12-22 01:43:28,38.421,-121.4238,50.22,87,90,1.01
185,Zhongshu,CN,2021-12-22 01:43:28,24.5167,103.7667,50.67,79,0,3.2
186,Norman Wells,CA,2021-12-22 01:43:09,65.282,-126.8329,-0.36,85,90,4.61
187,Morondava,MG,2021-12-22 01:43:29,-20.2833,44.2833,77.94,74,90,1.77
188,Burriana,ES,2021-12-22 01:43:29,39.889,-0.085,53.83,90,88,3.53
189,Puerto Escondido,MX,2021-12-22 01:43:29,15.85,-97.0667,78.37,83,20,4.52
190,Kavieng,PG,2021-12-22 01:43:30,-2.5744,150.7967,84.78,70,90,6.8
191,Sechura,PE,2021-12-22 01:43:30,-5.5569,-80.8222,69.26,77,11,12.86
192,Peabiru,BR,2021-12-22 01:43:30,-23.9128,-52.3431,82.62,54,62,2.08
193,Amuntai,ID,2021-12-22 01:43:31,-2.4177,115.2494,85.86,69,97,1.3
194,Longyearbyen,SJ,2021-12-22 01:40:45,78.2186,15.6401,15.64,86,90,6.91
195,Abha,SA,2021-12-22 01:43:31,18.2164,42.5053,53.42,93,100,0.0
196,Saint Andrews,US,2021-12-22 01:43:31,34.0454,-81.1293,42.8,81,90,3.0
